selection_stage,selection_origin_idx,selection_origin_time,train_start_time,train_end_time,validation_start_time,validation_end_time,purge_hours,candidate_L_train_days,candidate_L_obs_hours,candidate_lambda,val_pr_auc,val_roc_auc,val_pr_auc_b1,val_pr_auc_b2,prediction_disagreement,validation_positive_rate,selected_L_train_days,selected_L_obs_hours,selected_lambda,adst_action,previous_val_pr_auc,val_pr_auc_delta,candidate_count
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,0.0,0.0878364506576922,0.427376297301163,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,0.1,0.10714710866476768,0.6035008478748775,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,0.2,0.12023448800722898,0.6370255185418164,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,0.3,0.12991590795007482,0.6508602182688386,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,0.4,0.13792821893507964,0.6575236677885367,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,0.5,0.14197137157561293,0.6615171974452434,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,0.6,0.14444728537372362,0.6641649691511275,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,0.7,0.14611899799208197,0.6663866285192609,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,0.8,0.14666505265443516,0.6671244135886498,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,0.9,0.14654893570245758,0.6666885701631756,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
development,16416,2023-07-12T09:40:00+00:00,2023-06-29T09:40:00+00:00,2023-07-06T09:40:00+00:00,2023-07-07T21:40:00+00:00,2023-07-10T21:40:00+00:00,36,7.0,1.0,1.0,0.14685153283962038,0.6668562957283715,0.14685153283962038,0.0878364506576922,0.16969436407089233,0.09090909090909091,,,,,,,
