origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,prediction_population,policy,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_cascade_alpha,selected_lambda,pareto_alpha,pareto_lambda_mean,pareto_lambda_min,pareto_lambda_max,pareto_history_cutoff,fusion_method,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,roc_auc_fused,roc_auc_b1,roc_auc_b2,recall_at_100,lift_at_100,recall_at_100_b1,lift_at_100_b1,recall_at_100_b2,lift_at_100_b2,positives,test_prevalence,gpu_count_evaluated,decision_time_count,top_k
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,1.0,1.0,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.006153562606510764,0.006153562606510764,0.012051555943055075,0.0037049207094089305,0.7908089103789125,0.7908089103789125,0.6948097294902615,0.18723404255319148,3.729702127659574,0.18723404255319148,3.729702127659574,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,1.0,1.0,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.02993145347179934,0.02993145347179934,0.26771667351262846,0.008815288207392316,0.6431552929666933,0.6431552929666933,0.8161931814619886,0.06921944035346098,1.3788512518409424,0.06921944035346098,1.3788512518409424,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,1.0,1.0,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.09466004338951765,0.09466004338951765,0.2242145920557747,0.056553553073785554,0.7746042806894309,0.7746042806894309,0.7030838866228746,0.13982392542723976,2.785292594510616,0.13982392542723976,2.785292594510616,0.2092180217503884,4.167622993267737,3862,0.040390729585006696,1992,48,100
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,1.0,1.0,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.060547927841899704,0.060547927841899704,0.1669211253581758,0.04445833955844395,0.7598506332951128,0.7598506332951128,0.8546834859093836,0.26273291925465836,5.233639751552794,0.26273291925465836,5.233639751552794,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,1.0,1.0,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.006172746371254534,0.006172746371254534,0.004608072350271864,0.0006647805427954181,0.5909472645650674,0.5909472645650674,0.2530178109580073,0.04174573055028463,0.8315749525616698,0.04174573055028463,0.8315749525616698,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,1.0,1.0,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.004105895974483282,0.004105895974483282,0.004001879041285664,-8.833325110336072e-05,0.529083451115948,0.529083451115948,0.4286541300479829,0.034912718204488775,0.6954613466334165,0.034912718204488775,0.6954613466334165,0.1172069825436409,2.3347630922693265,401,0.004193858768406961,1992,48,100
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,1.0,1.0,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.006517994284014571,0.006517994284014571,0.004289788898153691,0.002344401586501609,0.6918427050075618,0.6918427050075618,0.4226055757435725,0.0125,0.249,0.0125,0.249,0.0025,0.049800000000000004,400,0.004183400267737617,1992,48,100
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,1.0,1.0,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.004548200134058118,0.004548200134058118,0.005656114618589922,0.0026602473308335625,0.7668566178652155,0.7668566178652155,0.7136612029766578,0.11049723756906077,2.2011049723756906,0.11049723756906077,2.2011049723756906,0.0,0.0,181,0.0018929886211512717,1992,48,100
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,1.0,1.0,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.024880618749720813,0.024880618749720813,0.04395196725316627,7.491358557446402e-05,0.5000610196186575,0.5000610196186575,0.4963120002006739,0.03541315345699832,0.7054300168634065,0.03541315345699832,0.7054300168634065,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407,1992,48,100
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,1.0,1.0,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.014440459640418365,0.014440459640418365,0.00770284850356385,0.004791887008820901,0.6866205717478361,0.6866205717478361,0.3666678389595016,0.042071197411003236,0.8380582524271845,0.042071197411003236,0.8380582524271845,0.06796116504854369,1.35378640776699,927,0.009695030120481929,1992,48,100
