selection_role,selection_stage,selection_origin_idx,selection_origin_time,candidate_train_days,candidate_half_life_days,candidate_input_hours,validation_block_count,validation_block_days,purge_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,selection_origin_count,family_validation_pr_auc,input_validation_pr_auc,selected_family_weights,selected_input_weights,candidate_cascade_alpha,validation_scope,validation_samples,candidate_b2_train_days,candidate_b2_half_life_days,candidate_L_obs_hours,pool_origin_count,pool_validation_block_count,candidate_pareto_alpha,selected_lambda,paired_validation_block_count,selected_train_days,selected_half_life_days,selected_input_hours,validation_origin_count,adst_action,candidate_count,selected_cascade_alpha,selected_cascade_validation_pr_auc,selected_b2_train_days,selected_b2_half_life_days,fusion_validation_pr_auc,fusion_validation_roc_auc,prediction_population
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.14174213691903273,0.12614821105185883,0.11261241669071126,0.04265238977851938,0.09907662232956368,0.6577558439528027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.14180007523490265,0.12313552063658145,0.11293098947868829,0.04166857163659751,0.10272645832079513,0.659974416013171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.14114762834463254,0.12224452902661842,0.11329337477613498,0.04006412766212378,0.10434222052565154,0.6606361019674555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.13407733008910908,0.12784430941071728,0.11464274050972194,0.029522773557661086,0.1014411716087266,0.6531747040074642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.12562849221678227,0.12133337576500808,0.11294677101597363,0.019197452905036577,0.10456016626693918,0.6325331232307003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.12255239684898141,0.11832401397714071,0.11172618770232377,0.016230664907599765,0.10512836142750684,0.6220263657841486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.12737480824515476,0.11993827364487604,0.1084963221793642,0.02828556712940217,0.09705437071385237,0.6363492452520743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.11143210243468926,0.0964799190882186,0.0942032783209224,0.024436042153789396,0.0919266375536262,0.5828790256346051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.10553822016929225,0.08933812815329407,0.08889405607863979,0.023541195025418484,0.08844998400398549,0.5619951237696933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.15676481560643,0.1754643711680009,0.1393767118312332,0.03837844547049497,0.1032890524944655,0.6842736719424858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.15585057877434058,0.16998029802795012,0.1342929221934712,0.042172553995281914,0.09860554635899228,0.6734997255236467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.15539871665946947,0.16733715462309878,0.13254516249317622,0.04302973801503399,0.09775317036325368,0.6704337913520654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.15261848346856524,0.16565862380118154,0.13561429084802318,0.03435199792956959,0.10556995789486479,0.6845117962252029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.14215288827291006,0.15197365509625724,0.12670138093446895,0.030054784182647634,0.10142910677268066,0.6636912461232525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.1360446949804192,0.14412405007184093,0.12211212912717215,0.026669256175598472,0.10010020818250338,0.6497794270485245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.14651366718353007,0.16074492149532138,0.12975260597825272,0.03467297832886289,0.09876029046118408,0.6720851052753386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.1247872543182198,0.1292287102335277,0.10713623157424727,0.03079776425906558,0.08504375291496685,0.6197471879326929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.11103458811065797,0.10351535275904056,0.09197449152253456,0.028554664813605822,0.08043363028602857,0.5786606835710109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.19683200195817632,0.13955513204948858,0.1341316495224636,0.08878219321991965,0.12870816699543858,0.7126495855804608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.194503264740809,0.1453699541417122,0.13932541312938249,0.07818918254851519,0.13328087211705278,0.7176592147164582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.1929708114785029,0.1469419486297897,0.1409851030633691,0.07367960209525262,0.13502825749694844,0.718381178621874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.1893603209573843,0.12962339474418078,0.12722795673301418,0.08789019731306674,0.12483251872184761,0.695612690081338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.17400203904083503,0.12844902513136125,0.12480425241809798,0.06963979223528476,0.12115947970483472,0.6820618228166694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.1664802934391458,0.12902726681885548,0.12313503858296904,0.061487948462683954,0.1172428103470826,0.6749359285668386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.18142810020658443,0.12266458047258229,0.11753711435151042,0.09045243733374482,0.11240964823043854,0.6766160452149713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.14879276560014565,0.11333910126573418,0.10267248899801935,0.0658028183734794,0.09200587673030453,0.625692520073153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.13004164491080303,0.10745990560839763,0.0970337501769164,0.0474501005363981,0.08660759474543517,0.5955904363709784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.19029672551088883,0.12604043786461497,0.11241311461524431,0.11070463548673204,0.09878579136587366,0.6906646759240423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.1861041877311637,0.1227300272037266,0.11245432081859981,0.10449401523669015,0.10217861443347302,0.6914430017396539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.18504655711174336,0.12197808517876606,0.11296424623284462,0.10220511375813389,0.10395040728692317,0.6920057323098806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.18374527334269833,0.12963427227827873,0.1154920682366378,0.09721283165270349,0.10134986419499688,0.686031059987925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.1688696489603977,0.12306804547040961,0.11375141323723287,0.07831925843993229,0.10443478100405611,0.6660199235320662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
