"origin_idx","policy","action","selected_train_days","selected_half_life_days","candidate_count","val_pr_auc_mean","quick_validation_pr_auc","performance_drop","train_confidence","half_confidence","conservative_reverted_action","conservative_required_gain","quick_validation_block_count","cooldown_origins"
"18144","adst","momentum_initial_full_search","7","7","9","0.14180007523490265",,,"0.15000000000000002","0.15000000000000002",,,"2","2"
"18432","adst","momentum_full_rescan","7","3","9","0.15676481560643",,,"0.2775","0.15000000000000002",,,"2","2"
"18720","adst","momentum_full_rescan","7","3","9","0.19683200195817632",,,"0.385875","0.2775",,,"2","2"
"19008","adst","momentum_full_rescan","7","3","9","0.19029672551088883",,,"0.47799375000000005","0.385875",,,"2","2"
"19296","adst","momentum_full_rescan","7","3","9","0.22605615982375116",,,"0.5562946875000001","0.47799375000000005",,,"2","2"
"19584","adst","momentum_full_rescan","7","3","9","0.23452695230422002",,,"0.6228504843750001","0.5562946875000001",,,"2","2"
"19872","adst","momentum_full_rescan","14","3","9","0.2791192824842099",,,"0.15000000000000002","0.6228504843750001",,,"2","2"
"19872","adst","conservative_cooldown_hold","14","3","9","0.2791192824842099",,,"0.258375","0.7275094749609377","momentum_full_rescan","0.013955964124210497","2","2"
"19872","adst","conservative_cooldown_hold","14","3","9","0.2791192824842099",,,"0.3366759375","0.8031255956592775","momentum_partial_search_hold_half","0.013955964124210497","2","2"
"20736","adst","momentum_partial_search_hold_half","21","3","3","0.2974595023907352",,,"0.15000000000000002","0.8326567563103859",,,"2","2"
"20736","adst","conservative_cooldown_hold","21","3","3","0.2974595023907352",,,"0.258375","0.8790945064342539","momentum_partial_search_hold_half","0.01487297511953676","2","2"
"20736","adst","conservative_cooldown_hold","21","3","3","0.2974595023907352",,,"0.3366759375","0.9126457808987485","momentum_partial_search_hold_half","0.01487297511953676","2","2"
"21600","adst","momentum_partial_search_hold_half","21","3","3","0.22818480603823632",,,"0.436174546875","0.9257489137639362",,,"2","2"
"21888","adst","momentum_partial_search_hold_half","21","3","3","0.24048680328336788",,,"0.5207483648437501","0.9368865766993457",,,"2","2"
"22176","adst","momentum_partial_search_hold_half","21","3","3","0.14633453900865087",,,"0.5926361101171875","0.9463535901944439",,,"2","2"
"22464","adst","momentum_partial_search_hold_half","21","3","3","0.12762517762898548",,,"0.6537406935996094","0.9544005516652773",,,"2","2"
"22752","adst","momentum_partial_search_hold_half","14","3","3","0.132554204328296",,,"0.21628287465116686","0.9612404689154856",,,"2","2"
"22752","adst","conservative_cooldown_hold","14","3","3","0.132554204328296",,,"0.30626437693546804","0.9719962387914384","momentum_partial_search_hold_half","0.006627710216414801","2","2"
