fusion_variant,pr_auc_fused_mean,pr_auc_fused_median,pr_auc_fused_q25,normalized_pr_auc_mean,roc_auc_fused_mean,recall_at_100_mean,lift_at_100_mean,effective_lambda_mean
pareto_current,0.02873797465488119,0.00908377029957273,0.005984435735469133,0.018256756734869376,0.7028166346598419,0.11303208852089028,2.2515992033361343,0.9008973779281574
pareto_cap_0.6,0.029970175351881085,0.00887433485525376,0.005244793681576258,0.019522680716826092,0.7050157919218866,0.13057436381766763,2.601041327247939,0.5673017591894662
fixed_lambda_0.6,0.024552269376674075,0.006981294456734788,0.005733362150214026,0.013964296422016357,0.6982144004048428,0.10105992358840207,2.0131136778809693,0.5999999999999999
b2_only_reference,0.061370867871803805,0.012051555943055075,0.004608072350271864,0.05169341615387309,0.6144431410643205,0.20124599141555122,4.0088201489977795,0.0
b1_only_reference,0.02068992867980544,0.006517994284014571,0.004592952090689541,0.010002448304841831,0.6717311954629122,0.09347096856158293,1.861941693746732,1.0
