origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,prediction_population,policy,fusion_variant,fusion_method,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_cascade_alpha,pareto_alpha,pareto_lambda_mean,pareto_lambda_min,pareto_lambda_max,effective_lambda_mean,effective_lambda_min,effective_lambda_max,pareto_history_cutoff,lambda_cap,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,roc_auc_fused,roc_auc_b1,roc_auc_b2,recall_at_100,lift_at_100,recall_at_100_b1,lift_at_100_b1,recall_at_100_b2,lift_at_100_b2,positives,test_prevalence,gpu_count_evaluated,decision_time_count,top_k,selected_lambda
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_current,current_pareto_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9133087658172372,0.1111111111111111,1.0,0.9133087658172372,0.1111111111111111,1.0,decision_time_minus_10min,0.6,0.007493124620249885,0.006153562606510764,0.012051555943055075,0.005047783140141255,0.799736064120893,0.7908089103789125,0.6948097294902615,0.19574468085106383,3.899234042553191,0.18723404255319148,3.729702127659574,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_cap_0.6,pareto_b1_capped_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9133087658172372,0.1111111111111111,1.0,0.5719976881733282,0.1111111111111111,0.6,decision_time_minus_10min,0.6,0.00781614715065733,0.006153562606510764,0.012051555943055075,0.005371601534448697,0.8074536009781152,0.7908089103789125,0.6948097294902615,0.225531914893617,4.492595744680851,0.18723404255319148,3.729702127659574,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,fixed_lambda_0.6,fixed_binary_lambda_0.6_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9133087658172372,0.1111111111111111,1.0,0.5999999999999999,0.6,0.6,decision_time_minus_10min,0.6,0.006981294456734788,0.006153562606510764,0.012051555943055075,0.004534691927901295,0.8088065623489401,0.7908089103789125,0.6948097294902615,0.2170212765957447,4.323063829787234,0.18723404255319148,3.729702127659574,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b2_only_reference,b2_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9133087658172372,0.1111111111111111,1.0,0.0,0.0,0.0,decision_time_minus_10min,0.6,0.012051555943055075,0.006153562606510764,0.012051555943055075,0.00961744554000434,0.6948097294902615,0.7908089103789125,0.6948097294902615,0.39574468085106385,7.883234042553191,0.18723404255319148,3.729702127659574,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b1_only_reference,b1_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9133087658172372,0.1111111111111111,1.0,1.0,1.0,1.0,decision_time_minus_10min,0.6,0.006153562606510764,0.006153562606510764,0.012051555943055075,0.0037049207094089305,0.7908089103789125,0.7908089103789125,0.6948097294902615,0.18723404255319148,3.729702127659574,0.18723404255319148,3.729702127659574,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_current,current_pareto_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9149987433198403,0.1111111111111111,1.0,0.9149987433198403,0.1111111111111111,1.0,decision_time_minus_10min,0.6,0.060834110182992215,0.02993145347179934,0.26771667351262846,0.04039062481173109,0.8276311452734526,0.6431552929666933,0.8161931814619886,0.10849288168875798,2.161178203240059,0.06921944035346098,1.3788512518409424,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,1.0
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_cap_0.6,pareto_b1_capped_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9149987433198403,0.1111111111111111,1.0,0.5728342520213127,0.1111111111111111,0.6,decision_time_minus_10min,0.6,0.06128770556493424,0.02993145347179934,0.26771667351262846,0.04085409392381573,0.816235199520043,0.6431552929666933,0.8161931814619886,0.16200294550810015,3.227098674521355,0.06921944035346098,1.3788512518409424,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,0.6
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,fixed_lambda_0.6,fixed_binary_lambda_0.6_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9149987433198403,0.1111111111111111,1.0,0.5999999999999999,0.6,0.6,decision_time_minus_10min,0.6,0.04221326402603685,0.02993145347179934,0.26771667351262846,0.021364445581952565,0.7515535205794817,0.6431552929666933,0.8161931814619886,0.07216494845360824,1.4375257731958762,0.06921944035346098,1.3788512518409424,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,0.6
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b2_only_reference,b2_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9149987433198403,0.1111111111111111,1.0,0.0,0.0,0.0,decision_time_minus_10min,0.6,0.26771667351262846,0.02993145347179934,0.26771667351262846,0.2517765466032281,0.8161931814619886,0.6431552929666933,0.8161931814619886,0.4162984781541483,8.292665684830633,0.06921944035346098,1.3788512518409424,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,0.0
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b1_only_reference,b1_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9149987433198403,0.1111111111111111,1.0,1.0,1.0,1.0,decision_time_minus_10min,0.6,0.02993145347179934,0.02993145347179934,0.26771667351262846,0.008815288207392316,0.6431552929666933,0.6431552929666933,0.8161931814619886,0.06921944035346098,1.3788512518409424,0.06921944035346098,1.3788512518409424,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,1.0
