origin_idx,calibration,raw_pr_auc_fused,platt_pr_auc_fused,raw_pr_auc_b1,platt_pr_auc_b1,raw_pr_auc_b2,platt_pr_auc_b2,raw_roc_auc_fused,platt_roc_auc_fused,raw_recall_at_100,platt_recall_at_100,raw_lift_at_100,platt_lift_at_100
0,raw_vs_platt,0.006436256160356792,0.006093491472565476,0.006942519171658781,0.006942519171658781,0.012051555943055075,0.012051555943055075,0.8036128342613398,0.7979734132338682,0.12340425531914893,0.10212765957446808,2.4582127659574464,2.034382978723404
1,raw_vs_platt,0.044542139745678715,0.03907514784309517,0.029179904571825135,0.029179904571825135,0.26771667351262846,0.26771667351262846,0.7840747211016313,0.7575300994899166,0.031909671084928815,0.023073146784486992,0.635640648011782,0.45961708394698086
2,raw_vs_platt,0.09920986792470404,0.09003116944065966,0.08667685269575917,0.08667685269575917,0.2242145920557747,0.2242145920557747,0.805041706491725,0.7913096540411624,0.10797514241325738,0.10331434489901606,2.1508648368720866,2.0580217503884
3,raw_vs_platt,0.05570635945692312,0.04249224210124755,0.05608632867507911,0.05608632867507911,0.1669211253581758,0.1669211253581758,0.8268509489879263,0.7970972713120069,0.10496894409937889,0.0670807453416149,2.0909813664596273,1.3362484472049687
4,raw_vs_platt,0.006221176113212389,0.006192910452631763,0.006169631559244072,0.006169631559244072,0.004608072350271864,0.004608072350271864,0.5899056557480964,0.591757211854437,0.03984819734345351,0.036053130929791274,0.793776091081594,0.7181783681214422
5,raw_vs_platt,0.004123952115394482,0.004140305867234105,0.004144939342279707,0.004144939342279707,0.004001879041285664,0.004001879041285664,0.5278273622251152,0.5285918743025857,0.0399002493765586,0.04488778054862843,0.7948129675810474,0.8941645885286782
6,raw_vs_platt,0.0060477975021296735,0.006525844595063834,0.006668442979972535,0.006668442979972535,0.004289788898153691,0.004289788898153691,0.6562646771551,0.668913365400773,0.0225,0.035,0.4482,0.6972
7,raw_vs_platt,0.003097859030078636,0.003037724697859808,0.002108865508829062,0.002108865508829062,0.005656114618589922,0.005656114618589922,0.7143571439529436,0.7039622872528727,0.09944751381215469,0.11049723756906077,1.9809944751381217,2.2011049723756906
8,raw_vs_platt,0.026343008702283205,0.02528887956063125,0.02395728039502435,0.02395728039502435,0.04395196725316627,0.04395196725316627,0.49608906111749596,0.49366155094147085,0.07799325463743677,0.026981450252951095,1.5536256323777404,0.5374704890387859
9,raw_vs_platt,0.01781218857885665,0.018835475862881413,0.02023311559503117,0.02023311559503117,0.00770284850356385,0.00770284850356385,0.7156106900027904,0.725156924611306,0.061488673139158574,0.05609492988133765,1.2248543689320388,1.1174110032362459
10,raw_vs_platt,0.020010861971817076,0.01795225278723645,0.013962954468784951,0.013962954468784951,0.0418875533098984,0.0418875533098984,0.8128716221634651,0.7986312659240048,0.09646739130434782,0.09375,1.9216304347826085,1.8675
11,raw_vs_platt,0.008702360826665978,0.007807270974781318,0.007159399617168282,0.007159399617168282,0.014257136935093586,0.014257136935093586,0.7792827204013866,0.770209340465827,0.13167259786476868,0.12455516014234876,2.622918149466192,2.4811387900355872
12,raw_vs_platt,0.0005023592553487668,0.0005103579138188719,0.0005979037164460467,0.0005979037164460467,0.0005619745537922043,0.0005619745537922043,0.5864168161274124,0.5896572207475428,0.08,0.08,1.5936000000000001,1.5936000000000001
