origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,prediction_population,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_cascade_alpha,selected_lambda,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,roc_auc_fused,roc_auc_b1,roc_auc_b2,recall_at_100,lift_at_100,recall_at_100_b1,lift_at_100_b1,recall_at_100_b2,lift_at_100_b2,positives,test_prevalence,gpu_count_evaluated,decision_time_count,top_k
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.0062438571822528025,0.0062438571822528025,0.012051555943055075,0.0037954377532033,0.784530618190384,0.784530618190384,0.6948097294902615,0.19148936170212766,3.8144680851063826,0.19148936170212766,3.8144680851063826,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.029491384673896566,0.029491384673896566,0.26771667351262846,0.008365640122028383,0.6352612017863375,0.6352612017863375,0.8161931814619886,0.0741286205203731,1.476642120765832,0.0741286205203731,1.476642120765832,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.09963504912126218,0.09963504912126218,0.2242145920557747,0.061737960816733925,0.7651310914701591,0.7651310914701591,0.7030838866228746,0.17089590885551528,3.4042465044018644,0.17089590885551528,3.4042465044018644,0.2092180217503884,4.167622993267737,3862,0.040390729585006696,1992,48,100
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.08522684698441887,0.08522684698441887,0.1669211253581758,0.0695599238480756,0.7690173337687048,0.7690173337687048,0.8546834859093836,0.31801242236024846,6.334807453416149,0.31801242236024846,6.334807453416149,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.006414267874619363,0.006414267874619363,0.004608072350271864,0.0009076406009065715,0.6016513880943616,0.6016513880943616,0.2530178109580073,0.04364326375711575,0.8693738140417456,0.04364326375711575,0.8693738140417456,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.004461492863942242,0.004461492863942242,0.004001879041285664,0.00026876124222760447,0.5238406111487024,0.5238406111487024,0.4286541300479829,0.04239401496259352,0.8444887780548628,0.04239401496259352,0.8444887780548628,0.1172069825436409,2.3347630922693265,401,0.004193858768406961,1992,48,100
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.006828499807603625,0.006828499807603625,0.004289788898153691,0.0026562115359165285,0.6993003014199295,0.6993003014199295,0.4226055757435725,0.08,1.5936000000000001,0.08,1.5936000000000001,0.0025,0.049800000000000004,400,0.004183400267737617,1992,48,100
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.00242359739729348,0.00242359739729348,0.005656114618589922,0.0005316151175104875,0.5987135382127837,0.5987135382127837,0.7136612029766578,0.07734806629834254,1.5407734806629836,0.07734806629834254,1.5407734806629836,0.0,0.0,181,0.0018929886211512717,1992,48,100
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.026334328615497393,0.026334328615497393,0.04395196725316627,0.0015656038447449572,0.5115904405515189,0.5115904405515189,0.4963120002006739,0.045109612141652614,0.8985834738617201,0.045109612141652614,0.8985834738617201,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407,1992,48,100
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.01582325615055383,0.01582325615055383,0.00770284850356385,0.006188221019245688,0.7131286418903201,0.7131286418903201,0.3666678389595016,0.03344120819848975,0.6661488673139158,0.03344120819848975,0.6661488673139158,0.06796116504854369,1.35378640776699,927,0.009695030120481929,1992,48,100
10,2023-08-15T06:45:00+00:00,2023-08-15T06:45:00+00:00,2023-08-16T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.020760325976890724,0.020760325976890724,0.0418875533098984,0.013164200343659185,0.7995678179302002,0.7995678179302002,0.807129994581256,0.16032608695652173,3.1936956521739126,0.16032608695652173,3.1936956521739126,0.3804347826086957,7.578260869565217,736,0.007697456492637216,1992,48,100
11,2023-08-16T06:45:00+00:00,2023-08-16T06:45:00+00:00,2023-08-17T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.010860720864900059,0.010860720864900059,0.014257136935093586,0.007945231931801374,0.8094338618996098,0.8094338618996098,0.8454408848960595,0.2206405693950178,4.395160142348754,0.2206405693950178,4.395160142348754,0.3701067615658363,7.372526690391459,281,0.002938838688085676,1992,48,100
12,2023-08-17T06:45:00+00:00,2023-08-17T06:45:00+00:00,2023-08-18T00:00:00+00:00,common_terminal_heldout,all_gpus_before_top100,21,7,7,0,"1,6,24",1.0,1.0,0.010958230014751342,0.010958230014751342,0.0005619745537922043,0.010603455005788989,0.7461806442355979,0.7461806442355979,0.5855011119879475,0.12,2.3903999999999996,0.12,2.3903999999999996,0.0,0.0,25,0.0003585771658060815,1992,35,100
