scheduling_checkpoint_seconds,scheduling_relaunch_seconds,failure_checkpoint_loss_seconds,failure_recovery_delay_seconds,failure_gpu_unavailable_seconds,preventive_checkpoint_seconds,preventive_relaunch_seconds,maintenance_unavailable_seconds,failure_lost_time_seconds,preventive_overhead_seconds,maintenance_gpu_hours,units_note,status,scheduler,scheduler_implementation,placement_policy,decision_interval_seconds,cohort_size,decision_count,completed_jobs,total_jobs,unfinished_jobs,starved_jobs,avg_queue_wait_seconds,p95_queue_wait_seconds,max_queue_wait_seconds,avg_jct_seconds,makespan_seconds,makespan_censored,migrations,no_fit_decisions,excluded_allocations,event_count,replay_seconds
479820.0,2399100.0,105.0,1200.0,178170.0,0.0,0.0,0.0,179475.0,0.0,0.0,"Checkpoint/relaunch: job wall seconds; GPU unavailability: GPU seconds. Component sums are accounting totals, not elapsed makespan.",completed,Las,Blox schedulers.Las,risk_blind_packed,1800,100,611,16194,16560,366,0,63832.023490338164,205961.94999999955,1078232.0,51445.76608620477,1096034.0,True,0,571921,0,82361,1098900.0
0.0,0.0,0.0,0.0,187110.0,0.0,0.0,108475440.0,187110.0,108475440.0,30132.066666666666,"Checkpoint/relaunch: job wall seconds; GPU unavailability: GPU seconds. Component sums are accounting totals, not elapsed makespan.",completed,Las,Blox schedulers.Las,risk_mask_packed,1800,100,611,0,16560,16560,16560,574104.3378019324,1067526.0,1098874.0,,0.0,True,0,5280930,0,24143,1098900.0
480000.0,2400000.0,120.0,900.0,178170.0,0.0,0.0,0.0,179190.0,0.0,0.0,"Checkpoint/relaunch: job wall seconds; GPU unavailability: GPU seconds. Component sums are accounting totals, not elapsed makespan.",completed,Las,Blox schedulers.Las,risk_prefer_packed,1800,100,611,16194,16560,366,0,63844.113164251205,205961.94999999955,1078232.0,51458.08546375201,1096034.0,True,0,572030,0,82370,1098900.0
