origin_idx,origin_time,test_end_time,selected_L_train_days,selected_L_obs_hours,pr_auc_fused,pr_auc_b1,pr_auc_b2,roc_auc_fused,recall_at_100,lift_at_100,positives,best_branch_pr_auc,fused_minus_b1,fused_minus_b2,fused_minus_best_branch,fused_beats_b1,fused_beats_b2,fused_beats_best_branch
0,2023-06-15 09:40:00+00:00,2023-06-16 09:35:00+00:00,7,6,0.045561990716811,0.0123206044441833,0.0232748134769443,0.3877478836907171,0.0704761904761904,1.4038857142857142,1575,0.0232748134769443,0.0332413862726277,0.022287177239866705,0.022287177239866705,True,True,True
1,2023-06-16 09:40:00+00:00,2023-06-17 09:35:00+00:00,14,6,0.0055236457440896,0.0045373424221495,0.0079369022316186,0.4635184724421142,0.0227272727272727,0.4527272727272727,528,0.0079369022316186,0.0009863033219400996,-0.0024132564875290006,-0.0024132564875290006,True,False,False
2,2023-06-17 09:40:00+00:00,2023-06-18 09:35:00+00:00,21,6,0.0077032966754292,0.0092022625328082,0.004224148506007,0.6617018403681215,0.0707762557077625,1.4098630136986303,438,0.0092022625328082,-0.001498965857379,0.0034791481694222,-0.001498965857379,False,True,False
3,2023-06-18 09:40:00+00:00,2023-06-19 09:35:00+00:00,21,24,0.021967539196709,0.0228505856468889,0.012868720290546,0.4834597283712797,0.1699926090169992,3.3862527716186253,1353,0.0228505856468889,-0.0008830464501798987,0.009098818906163,-0.0008830464501798987,False,True,False
4,2023-06-19 09:40:00+00:00,2023-06-20 09:35:00+00:00,21,6,0.0336846018273768,0.0365874032194282,0.023437267057902,0.6082964468639179,0.1140177690029615,2.271233958538993,2026,0.0365874032194282,-0.0029028013920514018,0.0102473347694748,-0.0029028013920514018,False,True,False
5,2023-06-20 09:40:00+00:00,2023-06-21 09:35:00+00:00,14,6,0.0183319581818173,0.0252169194820977,0.0092451388037721,0.6277657521617517,0.1604743083003952,3.1966482213438736,1265,0.0252169194820977,-0.0068849613002804,0.0090868193780452,-0.0068849613002804,False,True,False
6,2023-06-21 09:40:00+00:00,2023-06-22 09:35:00+00:00,21,6,0.0057039715095258,0.0055241000066957,0.0046763505586776,0.6366957899981561,0.0216867469879518,0.4319999999999999,415,0.0055241000066957,0.00017987150283010032,0.0010276209508482004,0.00017987150283010032,True,True,True
7,2023-06-22 09:40:00+00:00,2023-06-23 09:35:00+00:00,21,6,0.0100123633712478,0.0096965461531619,0.0160760062515739,0.610875426005028,0.0659090909090909,1.3129090909090908,440,0.0160760062515739,0.0003158172180858995,-0.006063642880326101,-0.006063642880326101,True,False,False
8,2023-06-23 09:40:00+00:00,2023-06-24 09:35:00+00:00,21,1,0.0158600108820028,0.0167109028162234,0.019370093962636,0.2677444354065514,0.0245700245700245,0.4894348894348895,2442,0.019370093962636,-0.0008508919342205996,-0.0035100830806331987,-0.0035100830806331987,False,False,False
9,2023-06-24 09:40:00+00:00,2023-06-25 09:35:00+00:00,21,24,0.0433560940250487,0.0326111044602167,0.0773400078766192,0.6405869432816103,0.1448931116389548,2.886270783847981,2105,0.0773400078766192,0.010744989564831997,-0.0339839138515705,-0.0339839138515705,True,False,False
10,2023-06-25 09:40:00+00:00,2023-06-26 09:35:00+00:00,7,1,0.0004127066479604,0.000674693410673,0.0002532107834215,0.4831669587033351,0.0789473684210526,1.5726315789473684,38,0.000674693410673,-0.0002619867627126,0.0001594958645389,-0.0002619867627126,False,True,False
11,2023-06-26 09:40:00+00:00,2023-06-27 09:35:00+00:00,7,24,0.0221355821949315,0.0173456623753182,0.0086792827108617,0.729448117798296,0.2176360225140713,4.3353095684803,533,0.0173456623753182,0.0047899198196132975,0.0134562994840698,0.0047899198196132975,True,True,True
12,2023-06-27 09:40:00+00:00,2023-06-28 09:35:00+00:00,7,1,0.0037999158108911,0.0012612338407505,0.0004147493274866,0.4807671551810535,0.2631578947368421,5.242105263157894,38,0.0012612338407505,0.0025386819701406,0.0033851664834045,0.0025386819701406,True,True,True
13,2023-06-28 09:40:00+00:00,2023-06-29 09:35:00+00:00,14,6,0.0155286331097516,0.0167875817657264,0.009179091241262,0.7079284604951546,0.1013333333333333,2.01856,750,0.0167875817657264,-0.001258948655974798,0.0063495418684896,-0.001258948655974798,False,True,False
14,2023-06-29 09:40:00+00:00,2023-06-30 09:35:00+00:00,21,1,0.0258617812049755,0.0214651715946294,0.024141148881618,0.6896394958562114,0.1075268817204301,2.141935483870968,1395,0.024141148881618,0.004396609610346099,0.0017206323233575002,0.0017206323233575002,True,True,True
