selection_stage,selection_origin_idx,selection_origin_time,purge_hours,validation_mode,pool_origin_count,pool_validation_block_count,adwin_enabled,dynamic_selector,selection_role,candidate_b1_train_days,candidate_b1_half_life_days,candidate_L_obs_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,branch1_input_validation_ap,candidate_b2_train_days,candidate_b2_half_life_days,candidate_lambda,train_end_time,validation_start_time,validation_end_time,validation_block_count,validation_block_days,selected_b1_train_days,selected_b1_half_life_days,selected_b1_input_hours,selected_b1_input_weights,selected_b2_train_days,selected_b2_half_life_days,selected_L_train_days,selected_L_obs_hours,selected_lambda,val_pr_auc,val_roc_auc,val_pr_auc_b1,val_pr_auc_b2,val_pr_auc_b1_median,val_pr_auc_b2_median,val_roc_auc_b1,val_roc_auc_b2,prediction_disagreement,validation_positive_rate,latest_val_pr_auc,adst_action,b1_window_action,b1_window_pending_train_days,b1_window_change_streak,b1_window_gain,b2_window_action,previous_val_pr_auc,val_pr_auc_delta,candidate_count,window_change_relative_margin,window_change_absolute_margin,window_change_q25_tolerance,window_confirmation_checkpoints
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,7.0,3.0,all_1_6_24,0.14420563585864943,0.12265297305295447,0.11333263118299419,0.04431926613172519,0.1040122893130339,0.6536101375973885,"{'1': 0.11976351087141361, '6': 0.14216393677667225, '24': 0.1540961726307907}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,7.0,7.0,all_1_6_24,0.14519432521935058,0.12124127501613718,0.11308849099364708,0.04588988023012215,0.10493570697115698,0.6533494870913515,"{'1': 0.11955438484969617, '6': 0.14257377723417686, '24': 0.15690527888445302}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,7.0,14.0,all_1_6_24,0.14592317839875904,0.1212995579727646,0.11339139571581608,0.046457792198029306,0.10548323345886756,0.6540248416027091,"{'1': 0.11974973295087253, '6': 0.14276596446715106, '24': 0.1583206828993058}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,14.0,3.0,all_1_6_24,0.13976496022991144,0.11116651373408375,0.1083336702567872,0.04451069512144036,0.10550082677949066,0.6391818947057959,"{'1': 0.12160643170485912, '6': 0.13472972725282525, '24': 0.152923203116845}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,14.0,7.0,all_1_6_24,0.13538935849403955,0.10671327715234484,0.10431394578913364,0.04399091281413447,0.10191461442592242,0.6222090058084963,"{'1': 0.12067136299327846, '6': 0.1305364670138601, '24': 0.14982909072830905}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,14.0,14.0,all_1_6_24,0.1326287877014338,0.10698792888723618,0.10333775854735568,0.041530847252175554,0.09968758820747517,0.6155380596479912,"{'1': 0.11959865070522269, '6': 0.12830850332885513, '24': 0.14698615606130497}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,21.0,3.0,all_1_6_24,0.13424798731483537,0.10353589418352799,0.10201157241729547,0.04560616108368115,0.10048725065106295,0.6224992396070541,"{'1': 0.11655871868177907, '6': 0.13033535687577136, '24': 0.14836044421858174}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,21.0,7.0,all_1_6_24,0.1223586074940789,0.09360189249492949,0.08908106635632917,0.0472060878948138,0.08456024021772886,0.5775375866144424,"{'1': 0.10907125154702002, '6': 0.119752219485548, '24': 0.13546793938594606}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,21.0,14.0,all_1_6_24,0.11634875233150173,0.09039467058188345,0.0853408706820748,0.04404548457055054,0.08028707078226616,0.5627480241133376,"{'1': 0.10596699057722973, '6': 0.11504484595892767, '24': 0.12674307352486638}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch2,,,history_only,0.08540201937046045,0.08776241363751429,0.07429826584240336,0.019168781965896386,0.060834118047292426,0.4018093477957836,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch2,,,history_only,0.16692393400785785,0.08636370704302972,0.0695580678086824,0.13837814184863695,0.0527524285743351,0.39652582981336365,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch2,,,history_only,0.20193213228282283,0.15917405795118034,0.12276888249710502,0.11583262968539235,0.08636370704302972,0.5804077481990749,,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.08540201937046045,0.08776241363751429,0.07429826584240336,0.019168781965896386,0.060834118047292426,0.4018093477957836,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.10587774378401188,0.12407797881322946,0.09552950177514495,0.0275230070936574,0.06698102473706044,0.5243409620594336,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.11378090468529761,0.11829350817272738,0.09719464630565341,0.02910296517762202,0.07609578443857945,0.5567468405288415,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.12015420280498142,0.11478583553243954,0.09644791050136894,0.03671733812790279,0.07810998547029833,0.5728017111892861,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.1282067431996852,0.11145436104309596,0.0980594618858745,0.0440151416013039,0.08466456272865305,0.5961717750423446,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.13406741045090825,0.10865426586406937,0.10223886837020141,0.04531611632340314,0.09582347087633344,0.6209390151911398,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.13887706385771503,0.10682690440106585,0.10637373604582577,0.04596813619671489,0.10592056769058569,0.6364533077564865,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.1420838208663817,0.11238212842199397,0.10909005248329331,0.046737593864303116,0.10579797654459265,0.6444931744857305,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.14415840953425405,0.11629664967246175,0.11081875012771288,0.04736106735463119,0.105340850582964,0.6489296441681409,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.14518660200289177,0.11891084299719473,0.11200589851510617,0.04726207436647816,0.10510095403301763,0.651606867686736,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,fusion,,,,0.1460933409838002,0.12162038887369951,0.11326660644516409,0.04692241242926854,0.10491282401662867,0.6541224799028895,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,7.0,3.0,all_1_6_24,0.15934421154674697,0.1787637436272401,0.14058187372676373,0.04093841839080112,0.10240000382628738,0.681411510835466,"{'1': 0.15309786627459449, '6': 0.16597386682551826, '24': 0.15750287874205374}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,7.0,7.0,all_1_6_24,0.15586150080379524,0.16965265283314945,0.1326506937356548,0.04461217824253809,0.09564873463816012,0.6658305531301069,"{'1': 0.1520973247157821, '6': 0.1651439752340493, '24': 0.15265051127423548}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,7.0,14.0,all_1_6_24,0.15422192419310785,0.16546363471306014,0.12965862854417123,0.04540238573882345,0.09385362237528233,0.6606239389615355,"{'1': 0.1496557973438433, '6': 0.1639341489743589, '24': 0.15089411758847537}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,14.0,3.0,all_1_6_24,0.15981302524957008,0.17209622555518253,0.1384180814068584,0.04088559860043353,0.10473993725853427,0.6852650701687691,"{'1': 0.15413077892240465, '6': 0.16216908853117878, '24': 0.15964494256408665}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,14.0,7.0,all_1_6_24,0.15123149097310548,0.15235268560438486,0.12600679304410495,0.041657029911935095,0.099660900483825,0.6641305019697938,"{'1': 0.14590567290702475, '6': 0.1518803571054839, '24': 0.1535629490508027}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,14.0,14.0,all_1_6_24,0.1462922083912962,0.14237138751059464,0.12027762523767474,0.040974869870384005,0.09818386296475483,0.6516383247766389,"{'1': 0.1426538736346237, '6': 0.14634103397665335, '24': 0.15007814606647182}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,False,branch1_validation_performance,branch1,21.0,3.0,all_1_6_24,0.1546404676579953,0.16675574569410268,0.1332148779321204,0.04084244112465472,0.09967401017013812,0.6759582947694195,"{'1': 0.14850575360318552, '6': 0.15709421347901306, '24': 0.15535214012306522}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
